codigo,fecha,maquina,casino,in,out,jackpot,billetero
1,2025-05-01,1,1,316,357,94,183
2,2025-05-01,2,1,450,313,181,298
3,2025-05-01,3,1,368,309,149,179
4,2025-05-01,4,1,449,116,63,348
5,2025-05-01,5,1,323,248,72,42
6,2025-05-01,6,1,84,179,457,435
7,2025-05-01,7,1,494,486,323,270
8,2025-05-01,8,1,332,326,447,345
9,2025-05-01,9,1,404,426,399,80
10,2025-05-01,10,1,121,390,411,435
11,2025-05-01,11,2,165,419,167,498
12,2025-05-01,12,2,218,40,147,178
13,2025-05-01,13,2,262,471,77,469
14,2025-05-01,14,2,196,445,116,113
15,2025-05-01,15,2,407,116,146,35
16,2025-05-01,16,2,3,36,98,375
17,2025-05-01,17,2,50,199,459,17
18,2025-05-01,18,2,174,439,320,438
19,2025-05-01,19,2,107,24,54,210
20,2025-05-01,20,2,398,240,298,139
21,2025-05-01,21,3,95,210,248,369
22,2025-05-01,22,3,432,412,446,139
23,2025-05-01,23,3,187,146,146,253
24,2025-05-01,24,3,122,26,106,35
25,2025-05-01,25,3,494,53,240,297
26,2025-05-01,26,3,18,5,484,45
27,2025-05-01,27,3,57,151,458,365
28,2025-05-01,28,3,463,408,334,450
29,2025-05-01,29,3,383,84,318,170
30,2025-05-01,30,3,191,410,188,265
31,2025-05-01,31,4,23,209,140,60
32,2025-05-01,32,4,112,467,493,138
33,2025-05-01,33,4,309,127,364,278
34,2025-05-01,34,4,156,258,236,69
35,2025-05-01,35,4,368,77,245,491
36,2025-05-01,36,4,0,0,0,0
37,2025-05-01,37,4,374,44,356,21
38,2025-05-01,38,4,112,433,498,131
39,2025-05-01,39,4,209,289,24,302
40,2025-05-01,40,4,38,229,363,10
41,2025-05-01,41,5,0,0,0,0
42,2025-05-01,42,5,68,157,218,471
43,2025-05-01,43,5,359,79,465,172
44,2025-05-01,44,5,276,225,151,135
45,2025-05-01,45,5,325,156,358,183
46,2025-05-01,46,5,190,464,437,141
47,2025-05-01,47,5,183,49,359,298
48,2025-05-01,48,5,379,276,206,357
49,2025-05-01,49,5,315,227,274,244
50,2025-05-01,50,5,0,0,0,0
51,2025-05-01,51,6,399,47,275,431
52,2025-05-01,52,6,265,165,176,462
53,2025-05-01,53,6,288,144,21,34
54,2025-05-01,54,6,458,325,344,41
55,2025-05-01,55,6,0,0,0,0
56,2025-05-01,56,6,212,411,483,13
57,2025-05-01,57,6,379,180,261,410
58,2025-05-01,58,6,161,351,26,341
59,2025-05-01,59,6,431,117,195,12
60,2025-05-01,60,6,394,389,492,265
61,2025-05-01,61,7,18,397,374,147
62,2025-05-01,62,7,74,180,80,174
63,2025-05-01,63,7,362,301,172,399
64,2025-05-01,64,7,206,46,90,493
65,2025-05-01,65,7,249,38,37,443
66,2025-05-01,66,7,378,475,454,359
67,2025-05-01,67,7,4,116,65,467
68,2025-05-01,68,7,347,73,320,279
69,2025-05-01,69,7,82,311,425,90
